time,flux,flux_err
1751.10338,0.99202,0.000474
1751.17352,0.99224,0.000521
1751.24366,0.99253,0.000516
1751.3138,0.99233,0.000498
1751.38394,0.99337,0.000477
1751.45408,0.99389,0.000432
1751.52422,0.99356,0.000465
1751.59436,0.99381,0.000476
1751.6645,0.99452,0.000579
1751.73463,0.99522,0.000478
1751.80477,0.99541,0.000492
1751.87491,0.99528,0.000408
1751.94505,0.99562,0.000457
1752.01519,0.99624,0.000431
1752.08533,0.99712,0.000457
1752.15547,0.99683,0.000442
1752.22561,0.99678,0.000403
1752.29575,0.99776,0.00042
1752.36588,0.99811,0.00044
1752.43602,0.99903,0.000398
1752.50616,0.99883,0.000443
1752.5763,0.99903,0.000471
1752.64644,0.99975,0.000496
1752.71658,0.99985,0.000432
1752.78672,0.99992,0.000445
1752.85686,0.99989,0.000434
1752.927,1.00012,0.000446
1752.99713,0.99987,0.000416
1753.06727,1.00001,0.000412
1753.13741,0.99954,0.0004
1753.20755,0.9991,0.0004
1753.27769,0.99925,0.000406
1753.34783,0.99921,0.000421
1753.41797,0.99865,0.000397
1753.48811,0.99792,0.000451
1753.55825,0.998,0.000448
1753.62838,0.99767,0.000469
1753.69852,0.99763,0.000429
1753.76866,0.99676,0.000418
1753.8388,0.99653,0.000403
1753.90894,0.99591,0.000442
1753.97908,0.99603,0.000428
1754.04922,0.99647,0.000427
1754.11936,0.99577,0.000458
1754.1895,0.99542,0.000443
1754.25963,0.99564,0.000464
1754.32977,0.99552,0.000487
1754.39991,0.99482,0.000416
1754.47005,0.99471,0.000463
1754.54019,0.99471,0.000481
1754.61033,0.99486,0.000515
1754.68047,0.99469,0.000491
1754.75061,0.99409,0.000494
1754.82075,0.99407,0.000517
1754.89088,0.99405,0.000515
1754.96102,0.99411,0.000482
1755.03116,0.99363,0.000482
1755.1013,0.99329,0.000507
1755.17144,0.99369,0.000492
1755.24158,0.99342,0.000493
1755.31172,0.99237,0.000509
1755.38186,0.99283,0.000495
1755.452,0.99215,0.000511
1755.52213,0.99224,0.000508
1755.59227,0.99138,0.00052
1755.66241,0.99065,0.000499
1755.73255,0.99021,0.000506
1755.80269,0.99036,0.000504
1755.87283,0.99007,0.000495
1755.94297,0.98919,0.000486
1756.01311,0.9883,0.000475
1756.08325,0.98803,0.000487
1756.15338,0.98748,0.000471
1756.22352,0.98703,0.000467
1756.29366,0.98575,0.000461
1756.3638,0.98524,0.00045
1756.43394,0.98452,0.000442
1756.50408,0.98468,0.000445
1756.57422,0.98375,0.000448
1756.64436,0.98297,0.000429
1756.7145,0.98219,0.000429
1756.78463,0.98236,0.000443
1756.85477,0.98228,0.000422
1756.92491,0.98143,0.000419
1756.99505,0.98149,0.000427
1757.06519,0.98221,0.000419
1757.13533,0.98226,0.000418
1757.20547,0.98205,0.000417
1757.27561,0.98169,0.000452
1757.34575,0.98199,0.000423
1757.41588,0.98196,0.000431
1757.48602,0.98173,0.000419
1757.55616,0.98205,0.000414
1757.6263,0.98219,0.000409
1757.69644,0.98262,0.000404
1757.76658,0.98293,0.00041
1757.83672,0.98311,0.000405
1757.90686,0.98316,0.000425
1757.977,0.98402,0.00043
1758.04713,0.98444,0.000423
1758.11727,0.98436,0.000428
1758.18741,0.98528,0.000408
1758.25755,0.98574,0.000423
1758.32769,0.98637,0.000423
1758.39783,0.98642,0.000409
1758.74852,0.9878,0.000431
1758.81866,0.98757,0.000429
1758.8888,0.98775,0.00044
1758.95894,0.98809,0.000429
1759.02908,0.98818,0.000446
1759.09922,0.98743,0.000438
1759.16936,0.98786,0.000437
1759.2395,0.98814,0.000416
1759.30963,0.98851,0.000424
1759.37977,0.98805,0.000434
1759.44991,0.98817,0.00044
1759.52005,0.98803,0.000438
1759.59019,0.98793,0.000446
1759.66033,0.98827,0.000422
1759.73047,0.98783,0.000423
1759.80061,0.98783,0.000448
1759.87075,0.98784,0.000441
1759.94088,0.98839,0.000449
1760.01102,0.98801,0.000443
1760.08116,0.98823,0.000465
1760.1513,0.98844,0.000464
1760.22144,0.98888,0.000472
1760.29158,0.98903,0.000545
1760.36172,0.98929,0.000551
1760.43186,0.98976,0.000583
1760.502,0.9904,0.000638
1760.57213,0.99087,0.000671
1760.64227,0.99066,0.00071
1760.71241,0.99169,0.000771
1760.78255,0.99219,0.00083
1760.85269,0.99283,0.000862
1760.92283,0.99326,0.000889
1760.99297,0.99402,0.000958
1761.06311,0.99463,0.001035
1761.13325,0.99553,0.001076
1761.20338,0.99626,0.001112
1761.27352,0.99618,0.00118
1761.34366,0.99687,0.001282
1761.4138,0.99843,0.001376
1761.48394,0.9987,0.000689
1761.55408,0.99797,0.000507
1761.62422,0.99846,0.00056
1761.69436,0.99942,0.001358
1761.7645,1.00025,0.00149
1761.83463,1.00048,0.001471
1761.90477,0.99959,0.001449
1761.97491,1.00022,0.001476
1762.04505,1.00066,0.001473
1762.11519,1.00053,0.001474
1762.18533,1.0,0.001448
1762.25547,0.99964,0.001446
1762.32561,0.99954,0.001435
1762.39575,0.99965,0.001397
1762.46588,0.99935,0.001353
1762.53602,0.99844,0.001329
1762.60616,0.99771,0.001287
1762.6763,0.99754,0.001238
1762.74644,0.99707,0.001187
1762.81658,0.99557,0.001138
1762.88672,0.99508,0.001085
1762.95686,0.99471,0.001025
1763.027,0.99435,0.000996
1763.09713,0.99431,0.000923
1763.16727,0.99381,0.000885
1763.23741,0.9931,0.000839
1763.30755,0.99267,0.000786
1763.37769,0.99232,0.000757
1763.44783,0.99206,0.000735
1763.51797,0.99161,0.0007
1763.58811,0.99086,0.000664
1763.65825,0.99074,0.000655
1763.72838,0.99122,0.000627
1763.79852,0.99072,0.000606
1763.86866,0.99032,0.000608
1763.9388,0.98963,0.000593
1764.00894,0.9903,0.000582
1764.07908,0.99046,0.00059
