time,flux,flux_err,alternate_err
1403.461914,0.986152,0.213726,0.0009558823529411745
1403.525269,0.987092,0.209837,0.0009558823529411745
1403.598022,0.988443,0.213698,0.0009558823529411745
1403.668823,0.989125,0.212024,0.0009558823529411745
1403.736816,0.990238,0.210084,0.0009558823529411745
1403.807129,0.991686,0.208758,0.0009558823529411745
1403.876953,0.992528,0.211272,0.0009558823529411745
1403.950195,0.993016,0.205714,0.0009558823529411745
1404.019043,0.993555,0.204282,0.0009558823529411745
1404.086426,0.994463,0.208831,0.0009558823529411745
1404.171753,0.995132,0.208137,0.0009558823529411745
1404.230469,0.995278,0.213957,0.0009558823529411745
1404.291382,0.995362,0.209479,0.0009558823529411745
1404.365601,0.99535,0.215714,0.0009558823529411745
1404.44519,0.995699,0.210631,0.0009494487745098203
1404.512939,0.995434,0.207458,0.0009422532107843247
1404.585571,0.99492,0.212726,0.0009345390277777765
1404.65625,0.99465,0.20846,0.0009270322712418361
1404.723511,0.994605,0.208796,0.000919888537581714
1404.800415,0.993841,0.212687,0.0009312218582887493
1404.869019,0.99373,0.215823,0.0009431450133689723
1404.937866,0.993506,0.211544,0.0009551104010695082
1405.005005,0.994068,0.202543,0.0009667789438502568
1405.079346,0.993706,0.204273,0.0009796991711229852
1405.150513,0.993462,0.210861,0.0009920677673796803
1405.220703,0.99334,0.206707,0.0009926470588235287
1405.28894,0.9932,0.204977,0.0009926470588235287
1405.361206,0.99355,0.208319,0.0009926470588235287
1405.429077,0.993127,0.215018,0.0009926470588235287
1405.499634,0.992916,0.211071,0.0009926470588235287
1405.57312,0.99324,0.214151,0.0009926470588235287
1405.643066,0.99283,0.209716,0.0009926470588235287
1405.711426,0.992824,0.210181,0.000996708137254884
1405.783081,0.993572,0.209397,0.001011928970588211
1405.848755,0.993513,0.212369,0.0010258793300653246
1405.922852,0.993404,0.207917,0.001041618888888842
1405.993774,0.993778,0.210007,0.001056684019607821
1406.059082,0.993972,0.209077,0.0010661764705882336
1406.137085,0.994667,0.210666,0.0010661764705882336
1406.204346,0.994721,0.21588,0.0010661764705882336
1406.274902,0.994647,0.214833,0.0010661764705882336
1406.348999,0.995044,0.209774,0.0010661764705882336
1406.414917,0.995427,0.214892,0.0010661764705882336
1406.484619,0.995752,0.213731,0.0010661764705882336
1406.55835,0.996152,0.212671,0.0010661764705882336
1406.629028,0.996444,0.210237,0.0010661764705882336
1406.692017,0.996815,0.211835,0.0010661764705882336
1406.7677,0.997269,0.209517,0.0010661764705882336
1406.839233,0.997546,0.217101,0.0010661764705882336
1406.91272,0.997909,0.214872,0.0010608035294117713
1406.978271,0.998485,0.21166,0.0010482717205882546
1407.04895,0.998834,0.209811,0.001034759558823515
1407.118286,0.998945,0.21009,0.0010030530392157939
1407.191284,0.999086,0.213486,0.0009565347058824531
1407.264038,0.998965,0.21436,0.0009482639379085082
1407.331177,0.999375,0.213059,0.0009411331617647173
1407.410278,0.999764,0.221836,0.000932731911764713
1407.470459,0.999188,0.220743,0.0009263401388889139
1407.848999,0.999112,0.201288,0.0008201718872549153
1407.912476,0.999537,0.214422,0.0008141498235293913
1407.96936,1.0,0.217912,0.0008250247058823524
1408.036133,0.999993,0.217307,0.000837790132352948
1408.103516,0.999642,0.2189,0.0008455882352941188
1408.175415,0.999385,0.216222,0.0008455882352941188
1408.248901,0.999066,0.222478,0.0008455882352941188
1408.313477,0.99889,0.209245,0.0008455882352941188
1408.389648,0.998319,0.216542,0.0008559820588235549
1408.453735,0.997901,0.214906,0.0008712969669117792
1408.533447,0.996985,0.213213,0.0008881659224598963
1408.604004,0.996846,0.221686,0.0009004285026738018
1408.669312,0.996122,0.218498,0.00091177882352941
1408.744141,0.99535,0.216251,0.0009247838636363463
1408.817871,0.99393,0.227125,0.0009375979010695137
1408.880371,0.993278,0.214082,0.0009484602005347546
1408.954468,0.9928,0.210434,0.0009558823529411745
1409.028198,0.991043,0.214056,0.0009558823529411745
1409.09729,0.989851,0.226153,0.0009558823529411745
1409.168091,0.988184,0.219203,0.0009558823529411745
1409.241821,0.987478,0.222521,0.0009558823529411745
1409.302124,0.986171,0.217501,0.0009558823529411745
1409.37439,0.984505,0.215762,0.0009558823529411745
1409.446167,0.983017,0.221334,0.0009558823529411745
1409.518311,0.981572,0.231588,0.0009558823529411745
1409.586914,0.980706,0.226503,0.0009558823529411745
1409.659912,0.978857,0.220747,0.0009558823529411745
1409.728027,0.977586,0.222415,0.0009558823529411745
1409.798828,0.97542,0.221546,0.0009558823529411745
1409.869507,0.974558,0.218002,0.0009558823529411745
1409.938843,0.973178,0.222834,0.0009558823529411745
1410.009521,0.9713,0.219531,0.0009558823529411745
1410.080933,0.969697,0.222467,0.0009558823529411745
1410.149536,0.969373,0.22019,0.0009558823529411745
1410.217163,0.968519,0.208941,0.0009558823529411745
1410.287231,0.966888,0.220823,0.0009558823529411745
1410.35083,0.965649,0.228512,0.0009558823529411745
1410.457397,0.964784,0.202715,0.0009558823529411745
1410.502808,0.96357,0.223514,0.0009558823529411745
1410.574585,0.963242,0.215906,0.0009558823529411745
1410.645996,0.962221,0.226547,0.0009558823529411745
1410.719849,0.961492,0.218364,0.0009558823529411745
1410.783936,0.961982,0.223939,0.0009558823529411745
1410.859497,0.961409,0.22168,0.0009558823529411745
1410.926025,0.960942,0.219616,0.0009615370273109092
1410.997314,0.960821,0.222218,0.0009712718697478833
1411.06543,0.960552,0.221261,0.000980573424369754
1411.134155,0.961219,0.208635,0.0009899581407562916
1411.206177,0.961605,0.214529,0.000999793077731092
1411.278076,0.961685,0.227103,0.0010096112184874008
1411.346069,0.962028,0.220909,0.001018895976890749
1411.416016,0.96319,0.218781,0.001028447563025199
1411.485474,0.964211,0.217002,0.0010294117647058829
1411.560303,0.964846,0.237044,0.0010294117647058829
1411.626343,0.965837,0.222354,0.0010294117647058829
1411.703857,0.966588,0.216646,0.0010294117647058829
1411.764771,0.967515,0.220907,0.0010294117647058829
1411.840332,0.969135,0.219923,0.0010294117647058829
1411.906372,0.969835,0.218191,0.0010294117647058829
1411.977539,0.971007,0.21816,0.0010294117647058829
1412.049805,0.972357,0.234014,0.0010294117647058829
1412.121216,0.974237,0.223872,0.0010289050267379802
1412.187622,0.975323,0.210675,0.001023134451871677
1412.261841,0.977045,0.224637,0.0010166849398395834
1412.332764,0.978299,0.228698,0.0010105218449197977
1412.400513,0.97955,0.228157,0.0010046345655080281
1412.475708,0.980998,0.225909,0.0009981002406417266
1412.544556,0.981979,0.241246,0.0009926470588235287
1412.617188,0.98338,0.230528,0.0009926470588235287
1412.688232,0.984464,0.231904,0.0009926470588235287
1412.753296,0.985664,0.233697,0.0009576684705882597
1412.824097,0.986623,0.228363,0.0009170620147059798
1412.897705,0.987938,0.235147,0.0008823529411764695
1412.965698,0.989055,0.230694,0.0008823529411764695
1413.037964,0.990325,0.236047,0.0008823529411764695
1413.103516,0.991812,0.225139,0.0008823529411764695
1413.178955,0.993059,0.222106,0.0008823529411764695
1413.249756,0.993664,0.233375,0.0008823529411764695
